epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.37966618,0.23381917,0.1091675,0.39939946,20.0,-3.17496,0.0,100.0,0.0
1,0.38181478,0.23154004,0.11189757,0.3961992,40.0,-5.1165314,0.0,200.0,0.0
2,0.38319057,0.23100081,0.11340766,0.39587268,60.0,-7.1065392,0.0,300.0,0.0
3,0.3829277,0.23164003,0.11435759,0.39558288,80.0,-9.260082,0.0,400.0,0.0
4,0.38259134,0.2312108,0.11475313,0.3956611,100.0,-11.278575,0.0,500.0,0.0
5,0.38316983,0.2313492,0.11479564,0.39599997,120.0,-13.012726,0.0,600.0,0.0
6,0.38323846,0.231903,0.114729784,0.39725322,140.0,-14.67275,0.0,700.0,0.0
7,0.38253522,0.23281428,0.1145677,0.3986403,160.0,-15.991354,0.0,800.0,0.0
8,0.38252068,0.23368311,0.11447594,0.39975962,180.0,-17.850828,0.010000000149011612,900.0,0.0009999999776482583
9,0.3820092,0.234393,0.11419992,0.40132484,200.0,-19.15873,0.005000000074505806,1000.0,0.0009999999776482583
10,0.38199607,0.2351186,0.11381136,0.40308675,220.0,-20.157381,0.005000000074505806,1100.0,0.0
11,0.3816965,0.2358472,0.11360039,0.40473157,240.0,-21.726572,0.0,1200.0,0.003999999910593033
12,0.38152838,0.23661688,0.11337279,0.4067902,260.0,-23.480188,0.0,1300.0,0.0019999999552965165
13,0.38091478,0.23726411,0.11311577,0.40886918,280.0,-24.264584,0.0,1400.0,0.0019999999552965165
14,0.3804049,0.23785229,0.1129515,0.41104165,300.0,-24.301302,0.020000000298023225,1500.0,0.0019999999552965165
15,0.380068,0.23836938,0.11277844,0.41331035,320.0,-25.102,0.020000000298023225,1600.0,0.0009999999776482583
16,0.3798113,0.23881736,0.11265379,0.41571313,340.0,-27.303913,0.010000000149011612,1700.0,0.0
17,0.3794377,0.23930173,0.11243613,0.41844758,360.0,-26.635233,0.020000000670552253,1800.0,0.003999999910593033
18,0.37897858,0.23982434,0.1121699,0.4207664,380.0,-28.28309,0.010000000149011612,1900.0,0.005999999865889549
19,0.37844238,0.24043539,0.11202333,0.42330426,400.0,-28.975475,0.005000000074505806,2000.0,0.0029999999329447745
20,0.37816867,0.24080464,0.11189677,0.4263633,420.0,-28.485254,0.03500000052154064,2100.0,0.0019999999552965165
21,0.37788105,0.24092415,0.11173688,0.4294304,440.0,-28.507486,0.020000000298023225,2200.0,0.0
22,0.3779133,0.24103627,0.11160864,0.43260258,460.0,-30.312557,0.020000000298023225,2300.0,0.007999999821186066
23,0.37773734,0.24101129,0.111577615,0.4356689,480.0,-29.078842,0.02500000074505806,2400.0,0.0019999999552965165
24,0.37752742,0.24104197,0.11143534,0.438716,500.0,-27.280167,0.010000000149011612,2500.0,0.003999999910593033
25,0.3774003,0.24111259,0.11130522,0.44158334,520.0,-26.063696,0.05000000186264515,2600.0,0.006999999843537807
26,0.37734342,0.24105212,0.11119833,0.4444353,540.0,-27.809011,0.020000000298023225,2700.0,0.0019999999552965165
27,0.37755114,0.24084255,0.111102864,0.44747216,560.0,-25.5004,0.02500000074505806,2800.0,0.004999999888241291
28,0.3772603,0.24077162,0.11096857,0.45018783,580.0,-26.673695,0.020000000298023225,2900.0,0.0029999999329447745
29,0.37713653,0.24062607,0.11087732,0.45274264,600.0,-26.36121,0.02500000037252903,3000.0,0.005999999865889549
30,0.37711743,0.24046895,0.11076053,0.4551806,620.0,-25.751377,0.02500000037252903,3100.0,0.005999999865889549
31,0.37707895,0.24034528,0.110691026,0.45757404,640.0,-22.483555,0.03500000052154064,3200.0,0.004999999888241291
32,0.37696382,0.24013662,0.1105937,0.4597816,660.0,-24.361292,0.05000000260770321,3300.0,0.007999999821186066
33,0.3769003,0.24000052,0.1105243,0.46187323,680.0,-24.029438,0.06500000208616256,3400.0,0.005999999865889549
34,0.37687993,0.23985668,0.110405244,0.46387845,700.0,-24.034935,0.055000000074505805,3500.0,0.004999999888241291
35,0.37698612,0.23977485,0.11024501,0.46566954,720.0,-25.844242,0.030000000447034835,3600.0,0.009999999776482582
36,0.376944,0.23961699,0.11015203,0.4675199,740.0,-26.150806,0.03500000052154064,3700.0,0.006999999843537807
37,0.37683207,0.23952171,0.11002202,0.46920413,760.0,-20.790104,0.0400000024586916,3800.0,0.012999999523162841
