epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.3550651,0.18912825,0.105697975,0.4184733,20.0,-40.6658,0.08500000312924386,100.0,0.003999999910593033
1,0.35509038,0.18944237,0.1057405,0.4193707,40.0,-39.827225,0.125,200.0,0.0029999999329447745
2,0.35524344,0.1896828,0.10581825,0.42021042,60.0,-41.999947,0.08000000156462192,300.0,0.003999999910593033
3,0.35544208,0.18999586,0.10590806,0.42106336,80.0,-40.924484,0.11000000387430191,400.0,0.006999999843537807
4,0.35565373,0.19020185,0.105988935,0.42181844,100.0,-39.12318,0.14,500.0,0.007999999821186066
5,0.3558592,0.19046035,0.106060125,0.42259455,120.0,-38.181713,0.120000005,600.0,0.008999999798834323
6,0.35608235,0.19076242,0.106142715,0.4233914,140.0,-42.93473,0.10000000260770321,700.0,0.008999999798834323
7,0.35627726,0.19104172,0.10620489,0.42405462,160.0,-37.705246,0.1400000024586916,800.0,0.005999999865889549
8,0.35649586,0.19125947,0.10625563,0.42468476,180.0,-41.17235,0.135,900.0,0.012999999895691871
9,0.35669932,0.19147782,0.10627447,0.4252851,200.0,-42.029045,0.08000000268220901,1000.0,0.006999999843537807
10,0.35683686,0.1917385,0.106308505,0.42599076,220.0,-38.566326,0.1350000012665987,1100.0,0.007999999821186066
11,0.35708785,0.19206537,0.10632829,0.42664966,240.0,-40.58715,0.14,1200.0,0.004999999888241291
12,0.35725853,0.19233085,0.10632829,0.42732254,260.0,-42.541576,0.10999999977648259,1300.0,0.009999999590218068
13,0.3574357,0.19267018,0.10636034,0.42799512,280.0,-44.97566,0.1,1400.0,0.004999999888241291
14,0.35769346,0.19293158,0.10639502,0.4286398,300.0,-39.887302,0.12000000104308128,1500.0,0.011999999731779098
15,0.35787004,0.19312713,0.10646959,0.42933828,320.0,-42.148273,0.06500000022351742,1600.0,0.004999999888241291
16,0.35805145,0.19339074,0.10653077,0.42998022,340.0,-40.698433,0.15,1700.0,0.005999999865889549
17,0.3582327,0.19360746,0.10655477,0.43057424,360.0,-42.421577,0.12500000298023223,1800.0,0.0029999999329447745
18,0.35842657,0.1937957,0.106593944,0.43119282,380.0,-45.3915,0.07000000216066837,1900.0,0.007999999821186066
19,0.35859612,0.19394882,0.10664866,0.43176565,400.0,-39.08567,0.185,2000.0,0.0029999999329447745
20,0.35874447,0.19408117,0.106658556,0.43221655,420.0,-43.928658,0.1750000037252903,2100.0,0.004999999888241291
21,0.35893843,0.19419888,0.106677495,0.43268976,440.0,-41.151264,0.19,2200.0,0.006999999843537807
22,0.35908577,0.19432792,0.10669903,0.4331782,460.0,-39.938606,0.13499999,2300.0,0.008999999798834323
23,0.35927007,0.19446698,0.10669985,0.433621,480.0,-40.22779,0.14000002,2400.0,0.010999999754130841
24,0.3594954,0.1945842,0.10671209,0.43403205,500.0,-40.518394,0.1250000037252903,2500.0,0.006999999843537807
25,0.3595704,0.19469579,0.106758855,0.43446082,520.0,-44.638206,0.095000006,2600.0,0.004999999888241291
26,0.35977677,0.19483313,0.106798194,0.43486792,540.0,-43.188103,0.12500000074505807,2700.0,0.012999999336898327
27,0.35996062,0.1949613,0.10682998,0.43530312,560.0,-38.999016,0.13999999,2800.0,0.009999999776482582
28,0.3601164,0.19513312,0.10683496,0.43573993,580.0,-49.47388,0.07500000186264515,2900.0,0.019999999180436136
29,0.36031517,0.19528484,0.106829725,0.43614632,600.0,-44.705067,0.08000000156462192,3000.0,0.007999999821186066
30,0.3603923,0.19551706,0.10684526,0.43651286,620.0,-41.72828,0.14500000476837158,3100.0,0.0029999999329447745
31,0.36054084,0.19570145,0.106860064,0.4369169,640.0,-44.148937,0.120000005,3200.0,0.008999999798834323
32,0.36064726,0.19581299,0.10686411,0.43729267,660.0,-42.169506,0.13,3300.0,0.009999999776482582
33,0.36079273,0.19596271,0.10688911,0.43770653,680.0,-43.640587,0.09500000141561031,3400.0,0.008999999612569809
34,0.36089644,0.19613078,0.106928036,0.43815413,700.0,-44.57796,0.1150000024586916,3500.0,0.007999999821186066
35,0.36106262,0.19633794,0.10692422,0.43856964,720.0,-43.11066,0.1,3600.0,0.008999999798834323
36,0.3612094,0.19653365,0.10690673,0.43894976,740.0,-40.588356,0.13999999910593033,3700.0,0.006999999843537807
37,0.36133432,0.1967553,0.10688691,0.43931374,760.0,-45.034786,0.125,3800.0,0.004999999888241291
38,0.3615384,0.19694604,0.10689153,0.43969458,780.0,-45.397697,0.07000000141561032,3900.0,0.012999999709427357
39,0.36172342,0.19719839,0.10689197,0.44006762,800.0,-41.419334,0.13,4000.0,0.004999999888241291
40,0.36191806,0.19740441,0.10691885,0.4404598,820.0,-42.42881,0.11500000283122062,4100.0,0.010999999567866325
41,0.36203477,0.19760814,0.10692849,0.44085044,840.0,-40.00892,0.13500000089406966,4200.0,0.007999999821186066
42,0.3621808,0.19777186,0.10694711,0.44123548,860.0,-43.85106,0.155,4300.0,0.005999999865889549
43,0.36234528,0.1979077,0.106962,0.44160643,880.0,-42.098137,0.1150000024586916,4400.0,0.005999999865889549
44,0.3624316,0.19804594,0.106971994,0.44192928,900.0,-40.42794,0.165,4500.0,0.008999999798834323
45,0.36253902,0.19815421,0.10699637,0.44223157,920.0,-38.982105,0.195,4600.0,0.008999999798834323
46,0.362695,0.1983103,0.10702811,0.44256338,940.0,-38.701458,0.17,4700.0,0.014999999664723873
47,0.362822,0.19842188,0.107055604,0.44290948,960.0,-40.88006,0.11999999,4800.0,0.008999999798834323
48,0.36293262,0.19857822,0.10707841,0.44323722,980.0,-41.932304,0.1350000061094761,4900.0,0.007999999821186066
49,0.36305222,0.19875784,0.107087314,0.44352522,1000.0,-40.37267,0.11500001,5000.0,0.010999999567866325
