epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
59,0.3808692,0.23602073,0.10524069,0.48840052,1200.0,-7.4265404,0.56,6000.0,0.14500001
60,0.38084546,0.2359258,0.10522021,0.48878652,1220.0,-9.749929,0.56000006,6100.0,0.15100001
61,0.38080743,0.23587254,0.105208024,0.48916492,1240.0,-7.014894,0.59000003,6200.0,0.132
62,0.38078734,0.23583654,0.105192885,0.48953146,1260.0,-7.6457567,0.61,6300.0,0.15799999
63,0.38070545,0.23580682,0.10517118,0.4898793,1280.0,-7.622576,0.59000003,6400.0,0.16
64,0.3807454,0.2357217,0.10518172,0.49022856,1300.0,-7.4999633,0.57000005,6500.0,0.133
65,0.38077885,0.23565467,0.105179325,0.49053636,1320.0,-7.8227897,0.56499994,6600.0,0.155
66,0.38077903,0.2355766,0.10516642,0.49086338,1340.0,-7.1673956,0.575,6700.0,0.149
67,0.38086292,0.23546115,0.10514309,0.4911788,1360.0,-7.3136,0.56000006,6800.0,0.176
68,0.38086206,0.23532006,0.105136074,0.49147502,1380.0,-7.2166243,0.56499994,6900.0,0.141
69,0.38096341,0.2352269,0.10511379,0.4917532,1400.0,-6.223668,0.61499995,7000.0,0.154
70,0.38092628,0.23516533,0.105094135,0.4920059,1420.0,-6.446724,0.64,7100.0,0.17300001
71,0.38090986,0.23515895,0.10508068,0.49227247,1440.0,-6.276085,0.7099999,7200.0,0.14199999
72,0.38096818,0.23508373,0.10506825,0.49253637,1460.0,-6.52011,0.69500005,7300.0,0.161
73,0.38095406,0.23504193,0.105040886,0.49279365,1480.0,-6.7677054,0.59000003,7400.0,0.172
74,0.38098153,0.23501226,0.10502939,0.49301186,1500.0,-7.117254,0.66,7500.0,0.139
75,0.38097477,0.23497996,0.10500256,0.49323258,1520.0,-6.8742456,0.625,7600.0,0.14899999
76,0.3809351,0.23498361,0.10497527,0.493468,1540.0,-7.409812,0.66499996,7700.0,0.152
77,0.38093457,0.23497763,0.10496912,0.49369186,1560.0,-7.139643,0.54499996,7800.0,0.14000002
